feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Eubacterium_F sp003491505,10664.0,0.6586581648751091,-0.03028839186512733,0.7049736677125592,0.6977006854516751,0.07915098524963682,0.038549590976316495,-0.014961119714575637,0.9560774227329843
Desulfovibrio sp900556755,10661.0,0.6617253273175624,-0.029998550794647638,0.613631724367974,0.5174753010554537,1.6836555964217705,1.6137142138810976,-0.24588306590014636,0.9560774227329843
Paratractidigestivibacter faecalis,10057.0,0.6792120248266098,0.028356118061929392,-0.19894145929600562,-0.07445939824640475,1.2398605767109974,1.3610180933845655,-1.417818114503573,0.9560774227329843
UMGS1696 sp900753285,10050.0,0.6719900269023784,0.02903241389304867,-0.6348414239454202,-0.46923057457903566,-1.4935001568671282,-0.7705620086791445,-0.4360992481846118,0.9560774227329843
W3P20-009 sp015061285,10638.0,0.6854258637582316,-0.02777643592097001,-0.48555019712492226,-0.6449565707697891,-0.002876981042195581,-1.1483639013484126,0.4095815662781141,0.9560774227329843
Pseudobutyrivibrio ruminis_D,10653.0,0.6699321111337423,-0.029225641273368463,-0.7189890886941236,-0.7417096846297265,-0.540064322463051,-0.7838172479063843,0.044884730077860834,0.9560774227329843
UBA11475 sp003538975,10642.0,0.6812809090703875,-0.028162890681609598,-0.011037988563105004,-0.007303976377088702,1.5710354633601753,1.5536896784161254,-0.595723358228183,0.9560774227329843
Clostridium sp018372875,10042.0,0.6637732647292744,0.029805323414327844,-0.7126262190207696,-0.6501429201562755,-1.2714605301663386,-0.9471003575444925,-0.13238866546858005,0.9560774227329843
CAG-83 sp000435555,10639.0,0.6843887311068697,-0.027873049611129908,-0.8115868872156851,-0.8523108991020754,-1.6266414935066944,-1.603247363111306,0.07063422550944136,0.9560774227329843
Aphodosoma sp900769035,10668.0,0.6545775387418424,-0.030674846625766916,0.10880910486905791,0.08725833035654482,1.5765837242994447,1.5536896784161254,-0.31843450555460673,0.9560774227329843
Actinomyces israelii,10660.0,0.6627489808772627,-0.02990193710448774,-0.2993698274577816,-0.31880554912755704,1.4742641255775712,1.4868108955114785,0.09074791734928625,0.9560774227329843
Heteroscilispira lomanii,10063.0,0.6854258637582316,0.02777643592097001,-1.2168649348233784,-1.0400849199679694,-2.409435429273593,-1.784266473645486,-0.22646772097703208,0.9560774227329843
Collinsella sp008014645,10660.0,0.6627489808772627,-0.02990193710448774,-0.25574854878986714,-0.3223283623130853,1.472861701591187,1.3589512955652996,0.33380508713316576,0.9560774227329843
Dialister sp900543455,10645.0,0.6781784869758974,-0.02845273175208929,-0.897752719514604,-1.0456542191070222,-1.8103339610984914,-1.924625988618864,0.22001583153281998,0.9560774227329843
Prevotella sp002439605,10660.0,0.6627489808772627,-0.02990193710448774,0.4501341226041326,0.28655460451587667,1.4127107791062343,0.9166481551153804,-0.6515448526843298,0.9560774227329843
Eubacterium_R sp002493595,10637.0,0.6864635895222827,-0.027679822230810114,0.1893237808960501,0.11440714046960297,1.6429181447453,1.629303820576144,-0.726678536311117,0.9560774227329843
Flemingibacterium merdigallinarum,10058.0,0.6802461660944228,0.028259504371769495,-0.6044244444572441,-0.5602098358187017,-0.35361965020153896,-0.4349191322834667,-0.10959469453255022,0.9560774227329843
Lactobacillus helveticus,10061.0,0.6833521932940241,0.027969663301289804,0.21911464155925886,0.44616510949452276,1.6644395706203952,1.6529012595854393,1.0258918040849692,0.9560774227329843
Prevotella sp900548535,10068.0,0.6906203890717364,0.027293367470170526,0.3849581629524745,0.5728865030064334,-0.7923196654286979,0.07192828831519371,0.5735476845804623,0.956537935002405
CAG-115 sp000432175,10067.0,0.6895803081820883,0.027389981160330423,-0.5089163723234392,-0.31405862398403483,0.30410723479034196,0.8260407408560884,-0.6963947207057328,0.956537935002405
CAG-115 sp003531585,10082.0,0.7052420882214647,0.02594077580793197,-0.7569032004383688,-0.7484826070126991,-1.3316081598055387,-1.715923546910032,-0.016140015453325728,0.9582093589965553
CAG-269 sp000437215,10622.0,0.7020994657629812,-0.02623061687841166,-0.07977008500343331,-0.16482281716382277,1.3988008409916315,1.3610180933845655,1.0469962640678434,0.9582093589965553
Prevotella sp900554835,10628.0,0.6958295250563811,-0.026810299019371042,1.4446712870692606,1.4376548322653278,0.8769047968536512,0.882557771563695,-0.007023927285914497,0.9582093589965553
Eubacterium_N saphenum,10076.0,0.69896192873134,0.02652045794889135,-0.32056783973867214,-0.1664022432522586,1.3287649897945712,1.3486234668894017,-0.9459548192843784,0.9582093589965553
Faecalibacillus intestinalis,10624.0,0.7000072063971174,-0.026423844258731455,1.2935026769646025,1.295853135930145,0.10078720874894209,0.2675507981644536,0.0026191815008796797,0.9582093589965553
UBA3839 sp017483765,10081.0,0.7041939853239061,0.026037389498091867,-0.20721360778517203,0.065619978699986,1.5669644224606163,1.607929211454417,,0.9582093589965553
Escherichia albertii,10627.0,0.6968730862938759,-0.026713685329211145,0.2679129615871955,0.19009739766115233,0.3243920268860485,0.20107168283193744,-0.4950255956810422,0.9582093589965553
UBA1685 sp017435905,10085.0,0.7083897479167713,0.02565093473745228,-0.8363333250609722,-0.7641489698244205,-1.8618213431507904,-1.517649870531912,-0.13022413364915092,0.9598777072042972
Barb7 sp001657575,10603.0,0.722086627594618,-0.02439495676537362,-0.3144743427408585,-0.2995291931539462,1.2894673708320674,1.380600249574222,-0.07024569594055498,0.9641919994227202
UBA4372 sp900543815,10097.0,0.7210297862820005,0.024491570455533518,-0.48695849955636417,-0.33608133738679313,-0.5733959590003526,-0.043624555422878686,-0.5349883950094356,0.9641919994227202
Prevotella sp900557035,10602.0,0.7231439995670401,-0.024298343075213724,1.3791013352275696,1.1432789762856028,1.6751244102578315,1.6443616610639609,-0.2705509840089849,0.9641919994227202
Fusobacterium_A ulcerans_A,10606.0,0.7189177029846749,-0.02468479783585331,-0.09122144818084123,-0.13124615681040255,1.2894673708320674,0.42320095774619837,0.5248302038763875,0.9641919994227202
Fimisoma sp900754795,10094.0,0.7178624646665865,0.02478141152601321,-0.8524822292307194,-0.8167907316512698,-2.0916026495589595,-1.7650144247204622,-0.061703264578991245,0.9641919994227202
Gemmiger sp900540595,10093.0,0.7168077643415243,0.024878025216173105,2.460973316960362,2.6010284444784166,2.9309112958932726,3.138040318762564,0.07985316094694819,0.9641919994227202
Collinsella bouchesdurhonensis,10102.0,0.7263192810187781,0.024008502004734034,-0.5685863531646658,-0.5186469536352318,-1.5391932145700356,-1.3272856439567438,-0.13262665230840567,0.9658501077377368
CAG-103 sp900317855,10108.0,0.7326839222629511,0.023428819863774653,0.2920217931841927,0.34377576785015124,1.3287649897945712,1.2571610438973657,0.23539181515086122,0.971729339871288
Ruminococcus_C sp000433635,10591.0,0.7348095861541208,-0.02323559248345486,-0.023684347374286586,-0.30497534836911233,-0.8523309191712087,-0.8329103138696752,3.6866868643880317,0.9719703520557154
CAG-1427 sp900542265,10131.0,0.7572489372347853,0.021206704990097136,-0.24689161829117023,-0.08297122803310195,1.5895565164585488,1.6203986538017734,-1.5731948265477715,0.973267867470751
Sutterella parvirubra,10548.0,0.7809780105756505,-0.019081203806579294,-0.09769519141353114,-0.029381742640094667,1.3355844931274028,0.940301386383716,-1.7333676232817024,0.973267867470751
Romboutsia_A weinsteinii,10578.0,0.7486752938100445,-0.0219796145113762,-1.261921570064521,-1.2637296139300345,-2.2037264371863916,-2.457089866156549,0.0020655713525842313,0.973267867470751
