species,metabolite,metabolite_name,shap_imp,pathway,acme,acme_ci_lo,acme_ci_hi,a,b,c_direct,c_total,prop_mediated,p_value,n_boot,ci,q_value
Bilophila wadsworthia,C00245_Taurine,C00245,0.11035088352838002,Other,-0.00855514780892568,-0.019962986811217266,0.0009367186764268996,0.12404520289511108,-0.06896798593783315,-0.022955739808760468,-0.031510887617686154,0.27149815367701424,0.0,1000,0.95,0.0
UMGS687 sp900545735,C00383_Malonate,C00383,0.0802010282240822,Other,-0.00788129154824444,-0.019847535995652688,0.003028463392441378,0.09859584402660537,-0.0799353322247308,-0.0263348287809711,-0.03421612032921554,0.230338550145762,0.0,1000,0.95,0.0
Erysipelatoclostridium ramosum,C00003_NAD+,C00003,0.03139842674136162,Other,0.007245066140249758,-0.0015364030922116435,0.01718391951588298,-0.12898966993506533,-0.05616780121925263,-0.017896843365126164,-0.01065177722487641,-0.6801743959993324,0.0,1000,0.95,0.0
Clostridium_A leptum,3-Indoxyl sulfate,3-Indoxyl sulfate,0.021867397175161823,Other,0.005189272574551873,-0.00018558462068674582,0.01294535578996034,0.1434075657593874,0.03618548677730544,-0.0001496086022562637,0.005039663972295612,1.0296862257243142,0.01,1000,0.95,0.01
CAG-170 sp000432135,C00449_Saccharopine,C00449,0.07769417007980496,Other,-0.004707906867067097,-0.013783200087927017,0.004197401942712818,-0.07034017842345403,0.06693055054147128,-0.007906547718308255,-0.012614454585375355,0.37321525359687274,0.0,1000,0.95,0.0
UMGS902 sp003343845,C00785_Urocanate,C00785,0.04037541998261265,Other,0.003939677979371766,-0.0037148667749852572,0.011884506122402735,-0.07425438619109108,-0.05305650186418808,0.019124145582418463,0.023063823561790216,0.1708163422607265,0.0,1000,0.95,0.0
Avispirillum faecium,C00785_Urocanate,C00785,0.04537312801287161,Other,0.003613360738541609,-0.004297569617125254,0.012882363544782519,-0.05831677186185687,-0.06196091832896863,0.01945046282324861,0.023063823561790216,0.15666789718803847,0.0,1000,0.95,0.0
Alistipes avistercoris,C00785_Urocanate,C00785,0.03035749714209045,Other,0.003461239808029492,-0.0030736557577993686,0.009797310901612578,0.07523397047256375,0.046006342431332045,0.019602583753760734,0.023063823561790216,0.15007224620655354,0.0,1000,0.95,0.0
Avispirillum faecium,3-Indoxyl sulfate,3-Indoxyl sulfate,0.022657010684879558,Other,0.0031394459392889034,-0.0030650242972791947,0.011892799934631387,-0.05831677186185687,-0.0538343574079469,0.0019002180330067123,0.005039663972295612,0.622947473590954,0.0,1000,0.95,0.0
UBA11540 sp003445125,C00879_Mucate,C00879,0.028662274875842393,Other,0.002966455422401566,-0.0021980827290162606,0.009258724919305376,-0.0717424212601987,-0.04134869398459093,0.00705850233459368,0.01002495775699525,0.2959070246786449,0.0,1000,0.95,0.0
Scatavimonas merdipullorum,C00314_Pyridoxine,C00314,0.08457711515047812,Other,0.001867930805403188,-0.00611959454646612,0.010611117675179495,-0.03174415321506333,-0.05884330234762135,-0.0032569954351919896,-0.0013890646297888033,-1.3447400252983137,0.0,1000,0.95,0.0
Morganella psychrotolerans_B,C00003_NAD+,C00003,0.0382106639444828,Other,0.0014172243931322266,-0.0038208305276574367,0.007558436673443315,0.03645028872430912,0.03888101967727524,-0.012069001618008635,-0.01065177722487641,-0.1330505100897536,0.002,1000,0.95,0.0020689655172413794
Scatavimonas merdipullorum,C01879_5-Oxoproline,C01879,0.03104638905848012,Other,0.001387922268233962,-0.004890158412168386,0.00834510168926844,-0.03174415321506333,-0.04372213865120084,-0.01504375194514437,-0.013655829676910407,-0.10163588013847984,0.002,1000,0.95,0.0020689655172413794
Phascolarctobacterium_A succinatutens_A,C00383_Malonate,C00383,0.0253582353461133,Other,-0.0012262789913758388,-0.009908203165932038,0.0069814529595365405,0.0250392889761537,-0.04897419381771152,-0.032989841337839707,-0.03421612032921554,0.03583921787674965,0.0,1000,0.95,0.0
CAG-83 sp000435555,C00449_Saccharopine,C00449,0.05642074034228985,Other,-0.0006734963261358086,-0.010781794394471618,0.00972304262116433,-0.009852421701728942,0.06835845506060918,-0.011940958259239541,-0.012614454585375355,0.05339083997469305,0.0,1000,0.95,0.0
UMGS693 sp900544555,C02378_6-Aminohexanoate,C02378,0.10347314112740305,Other,-7.850335280759735e-05,-0.013290860059318734,0.012380709470037504,0.0008367234183956081,-0.09382234449482142,0.012073390875291844,0.011994887522484244,-0.006544734384582094,0.0,1000,0.95,0.0
UMGS693 sp900544555,C00314_Pyridoxine,C00314,0.025914583170394172,Other,-5.2291381597729494e-05,-0.008367453325925749,0.0078030100559991775,0.0008367234183956081,-0.062495420168825484,-0.001336773248191074,-0.0013890646297888033,0.03764503139474511,0.0,1000,0.95,0.0
