met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full
CO2,co2,vestibularis,Other,Advanced_CRC,37.10414163223014,23.539864334358487,4,Streptococcus vestibularis
Gluconate,glcn,youngae,Other,Advanced_CRC,37.059930126310135,,1,Citrobacter youngae
Aspartate,asp_L,mitsuokai,Amino Acid,Advanced_CRC,36.99065291849717,16.20164921742682,4,Catenibacterium mitsuokai
Aspartate,asp_L,muciniphila,Amino Acid,Advanced_CRC,36.954665624798395,,1,Akkermansia muciniphila
Deoxyadenosine,dad_2,xylanisolvens,Other,Advanced_CRC,36.935539282900386,40.94534740571004,4,Bacteroides xylanisolvens
CO2,co2,breve,Other,Advanced_CRC,36.91258735238307,36.73889795474237,22,Bifidobacterium breve
Valine,val_L,fragilis,Other,Advanced_CRC,36.899109023778784,24.61319856588344,7,fragilis
Succinate,succ,wadsworthensis,Other,Advanced_CRC,36.87472449468954,50.944986891417514,2,Sutterella wadsworthensis
Acetaldehyde,acald,formicigenerans,Other,Advanced_CRC,36.873304073288125,,1,Dorea formicigenerans
Glycine,gly,parvula,Amino Acid,Advanced_CRC,36.84827056721737,23.621553990896974,5,parvula
Succinate,succ,hadrus,Other,Advanced_CRC,36.84116785731267,21.07759877761775,26,Anaerostipes hadrus
Uridine,uri,bartlettii,Other,Advanced_CRC,36.83086313316917,35.894165214467606,7,Intestinibacter bartlettii
Ammonium,nh4,atypica,Other,Advanced_CRC,36.8222264848115,30.04219993089685,11,Veillonella atypica
Acetaldehyde,acald,salyersiae,Other,Advanced_CRC,36.794328871728844,20.770767424063344,4,Bacteroides salyersiae
Ammonium,nh4,distasonis,Other,Advanced_CRC,36.781690357570774,28.973966014626217,56,Parabacteroides distasonis
Water,h2o,wadsworthensis,Other,Advanced_CRC,36.770614482207165,23.864125227705852,29,Sutterella wadsworthensis
Glutamate,glu_L,anaerobius,Amino Acid,Advanced_CRC,36.76206139896945,19.911908113503078,5,Peptostreptococcus anaerobius
Glucose,glc_D,prausnitzii,Other,Advanced_CRC,36.7354022526537,23.217812363131745,25,Faecalibacterium prausnitzii
Valine,val_L,mitsuokai,Other,Advanced_CRC,36.7342342776228,20.719729017967182,3,Catenibacterium mitsuokai
Deoxycytidine,dcyt,prausnitzii,Other,Advanced_CRC,36.72259116279279,31.31446786541623,11,Faecalibacterium prausnitzii
Acetaldehyde,acald,faecis,Other,Advanced_CRC,36.72181011587329,24.992505126770705,9,faecis
Deoxyadenosine,dad_2,goldsteinii,Other,Advanced_CRC,36.71980687830713,34.25431668960161,42,Parabacteroides goldsteinii
Proline,pro_L,pseudocatenulatum,Amino Acid,Advanced_CRC,36.708354555761574,26.25207332528213,14,Bifidobacterium pseudocatenulatum
Cholate,cholate,mitsuokai,Bile Acid,Advanced_CRC,36.666666666666686,4.71404520791029,2,Catenibacterium mitsuokai
Aspartate,asp_L,plautii,Amino Acid,Advanced_CRC,36.63385322532702,26.69277661635027,21,Flavonifractor plautii
Inosine,ins,albertii,Other,Advanced_CRC,36.61651501092049,18.695611051454314,5,Escherichia albertii
Galactose,gal,youngae,Other,Advanced_CRC,36.61175696615028,,1,Citrobacter youngae
Proton,h,salivae,Other,Advanced_CRC,36.59102462140614,4.6070712016401805,2,Prevotella salivae
Asparagine,asn_L,splanchnicus,Other,Advanced_CRC,36.58983287255318,24.25778490351508,2,Odoribacter splanchnicus
Acetaldehyde,acald,atypica,Other,Advanced_CRC,36.56476989387224,27.493058678400786,14,Veillonella atypica
Adenine,ade,merdae,Other,Advanced_CRC,36.54490162285279,32.46035930908916,4,merdae
CO2,co2,ovatus,Other,Advanced_CRC,36.542877934468315,24.47228304300942,60,Bacteroides ovatus
Trimethylamine,tma,piger,Other,Advanced_CRC,36.49975810353137,23.334181685890346,2,Desulfovibrio piger
Methionine,met_L,stomatis,Amino Acid,Advanced_CRC,36.489120124740786,35.13601387999361,3,stomatis
Propionate,ppa,virosa,SCFA,Advanced_CRC,36.48009469862572,29.135276773140127,9,Butyricimonas virosa
Glycerol,glyc,longum,Other,Advanced_CRC,36.46815060007414,32.33512706791747,39,longum
