Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques,1.417497935666435,1.2362769172168477,0.19734470128059547,1152.0,0.5845338937513712,0.06666666666666665,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945,0.8799679821493598,1.079445066085022,-0.29476688816552543,1000.0,0.5432195121752912,-0.07407407407407407,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215,0.9208453844346521,0.7214884690333863,0.35198260182420893,1159.0,0.5483033178395779,0.07314814814814818,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii,0.4702247738023925,0.2648663286376934,0.8280860976719937,1168.0,0.503413049514829,0.08148148148148149,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella timonensis,-0.4747852110414113,-0.21441671566344214,1.146857617012587,1009.0,0.5897992440453336,-0.06574074074074077,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900546625,0.6052219456175544,0.9898839964154647,-0.7097951656473273,909.0,0.19228606516089464,-0.15833333333333333,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900540595,0.41329472636318954,0.2806116558243356,0.558596019165273,1115.0,0.7919123854698545,0.03240740740740744,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900544495,-0.417839659775744,-0.44233260027758126,-0.0821821398742181,1153.0,0.579290513325541,0.06759259259259265,0.979955187238877,False
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,0.006851195967153482,-0.2767981052924471,,1153.0,0.579290513325541,0.06759259259259265,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,3.3949471986957263,2.971376380510483,0.19225777541862496,1267.0,0.15381028907542857,0.17314814814814805,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum faecicola,0.6294179942993489,0.28953850796866876,1.1202631877011529,1177.0,0.460542436764096,0.08981481481481479,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum,1.5118638906514414,1.295630762012563,0.22267363574502147,1146.0,0.6164478235130606,0.061111111111111116,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900555035,-0.2988783759082039,-0.251136629791588,0.25108605100588155,1199.0,0.36483415790048845,0.11018518518518516,0.979955187238877,False
