feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval,metabolite_name,pathway
C00311_Isocitrate,11673.0,0.06205818584846242,-0.12777160523646192,-0.7974878821869998,-1.1057745707405806,-1.3429217093509196,-1.405820090622551,0.4715227979080686,0.2974543454779267,C00311,Other
C02735_Phenylethanolamine,8978.5,0.052900002495927655,0.1325539828993768,-0.7497050816631006,-0.6331134571393351,-1.1370834335702238,-0.9840954306567429,-0.24385912034899407,0.2974543454779267,C02735,Other
C00642_p-Hydroxyphenylacetate,9063.5,0.06940601394484956,0.12434181923578569,0.9909408524956244,1.0848106820932373,0.8190644828928317,1.0326273404363722,0.1305724365165119,0.2974543454779267,C00642,Other
"C04259_N-alpha,N-alpha-Dimethylhistidine",11681.0,0.06049614182333489,-0.1285445147577411,-0.8923515938396646,-1.0330404567457518,-1.0983128744240784,-1.1422945570058007,0.21121259455287697,0.2974543454779267,C04259,Other
C00334_GABA,11751.0,0.04816015664550313,-0.13530747306893387,0.7475551058724609,0.6283954914197745,0.6627311756111836,0.5084939393222756,-0.2505071011422147,0.2974543454779267,C00334,Other
C07151_Metformin,9086.0,0.07442056603988313,0.12216801120718801,-1.250777844468717,-1.0969177068680225,-1.3622098104601232,-1.330212160333446,-0.18937027401829487,0.3100856918328464,C07151,Other
C01118_o-Succinylhomoserine,11538.0,0.09386833458895476,-0.11472875706487606,-0.39919698207479215,-0.5082036070073248,-0.6285133989423629,-0.7246883582126615,0.34830580186605375,0.31521266262434655,C01118,Other
C00588_Phosphorylcholine,9165.5,0.09456379878730396,0.11448722283947632,-0.12341181540505342,-0.024676786984748223,-0.0269728189526226,0.011363021345095703,-2.3222541037753,0.31521266262434655,C00588,Other
C00003_NAD+,11542.5,0.09263130357447355,-0.11516351867059571,0.8339027310009474,0.7350992415210463,1.0452065665180315,0.947854674393886,-0.18194007977200238,0.31521266262434655,C00003,Other
C00491_Cystine,9138.5,0.08728269610805602,0.11709579247379354,-0.8580810967065503,-0.7213268360455286,-1.079318680051958,-0.9666431453567065,-0.2504609042497899,0.31521266262434655,C00491,Other
C00214_Thymidine,9159.5,0.09290554324977274,0.1150669049804357,0.17435297486773402,0.35629476817020544,0.6259555300816222,0.6670745238492375,1.0310603148164663,0.31521266262434655,C00214,Other
C01089_3-Hydroxybutyrate,9156.0,0.09194802706562163,0.11540505289599534,0.43505470238486793,0.5349477864692848,0.17904600957331063,0.36633372692404276,0.2982012714257549,0.31521266262434655,C01089,Other
C00719_Betaine,9101.5,0.0780477916919059,0.12067049900970972,0.23489773237615805,0.334270996898137,0.18886322253400856,0.3409365709053591,0.5089853966604148,0.31521266262434655,C00719,Other
C00475_Cytidine,11571.5,0.08495920475106422,-0.1179653156852325,-0.4417117426079327,-0.5363656934672024,-0.3431361597605709,-0.4034475074050283,0.28011177846684343,0.31521266262434655,C00475,Other
C00366_Urate,9125.5,0.08394177821537951,0.1183517704458722,0.5480544963335565,0.7534389697862273,0.4886040399204219,0.6792225986192473,0.4591712982591272,0.31521266262434655,C00366,Other
C11527_4-Hydroxymandelate,9254.5,0.12205802984207423,0.10588860441524561,0.11808984914133035,0.20664353134469213,-0.10987942401790773,-0.03807326855620663,0.807259240085276,0.3225589649138298,C11527,Other
C03761_3-Hydroxy-3-methylglutarate,9240.0,0.11719485983507393,0.10728950292256412,-0.2859117045075518,-0.2027616090794012,-0.40917808184564497,-0.18119946611819593,-0.49578516550909524,0.3225589649138298,C03761,Other
C02656_Pimelate,9189.0,0.1012900063389919,0.11221680112071886,0.148130435375224,0.28914897227539305,0.2658981352509753,0.3384072882605851,0.9649448775612783,0.3225589649138298,C02656,Other
C02630_2-Hydroxyglutarate,11468.0,0.11490416783689834,-0.1079657987536835,0.9318448720935063,0.8617774121160447,1.061642109431009,0.9985389851738953,-0.11277451884688323,0.3225589649138298,C02630,Other
C00803_Valerate,9253.5,0.12171997561017871,0.10598521810540551,1.940002599378074,2.0464574773113173,2.1285135435993014,2.2232971048686645,0.07707010429517779,0.3225589649138298,C00803,Other
C05629_3-Phenylpropionate,9198.5,0.10411536333312,0.11129897106419984,0.9495879466933911,1.0896077195721598,1.0766557299615056,1.1903151178672782,0.19843530160596629,0.3225589649138298,C05629,Other
C04677_AICAR,9247.0,0.11952259633083903,0.10661320709144484,-1.0149655656428083,-0.935326262613486,-1.2096201747201687,-1.1538177945513377,-0.11788918054846292,0.3225589649138298,C04677,Other
C16741_5-Hydroxylysine,11514.0,0.10070312599882188,-0.11241002850103854,0.2545860903640671,0.10062479081942013,0.04751466569300056,0.008451815618290004,-1.3391678051067073,0.3225589649138298,C16741,Other
C01042_N-Acetylaspartate,9256.0,0.12257240666725533,0.10574368388000577,1.2837967122097007,1.3969550251326661,1.3777297884463235,1.449404629841976,0.12186880255950015,0.3225589649138298,C01042,Other
C05607_3-Phenyllactate,9226.0,0.11264449254642532,0.10864209458480267,-0.6708916440084162,-0.6178309205753536,-0.9205968902506827,-0.8660963441547911,-0.11886769983139465,0.3225589649138298,C05607,Other
C05332_Phenethylamine,9238.0,0.11653673888839328,0.10748273030288391,-0.7330239056236081,-0.6274491118402931,-0.8932871471938444,-0.813151095280656,-0.2243617925591341,0.3225589649138298,C05332,Other
C00386_Carnosine,11452.5,0.1200289341532093,-0.106468286556205,-0.5329440230211462,-0.619004233137115,-0.554548228963148,-0.6669864804316644,0.21596526627371768,0.3225589649138298,C00386,Other
C00245_Taurine,11437.0,0.12533140440148458,-0.1049707743587267,1.537331274862852,1.4596180424312681,1.5711413046183884,1.4491735190841593,-0.0748371910760787,0.3241329424176325,C00245,Other
C10172_Proline betaine,11377.0,0.14759058211423953,-0.09917395294913289,0.071538495421756,-0.005192065588239282,0.09657026131575708,-0.029961136187133697,,0.3629276609366546,C10172,Other
C06104_Adipate,9323.5,0.14739354591521864,0.09922225979421284,0.507094359052193,0.6121992768107485,0.5014506818030622,0.7037884060172372,0.2717471142575691,0.3629276609366546,C06104,Other
C05135_4-(beta-Acetylaminoethyl)imidazole,11378.0,0.14719725838210307,-0.09927056663929279,-0.06259359732785919,-0.1759783578509159,-0.02453575541606745,-0.11283853083326245,1.4913110321129182,0.3629276609366546,C05135,Other
C00086_Urea,9333.5,0.15137749779188675,0.09825612289261387,1.5961603166753648,1.7443065237894928,1.4296988690209969,1.5961351521512943,0.12804802285137948,0.36623588175456473,C00086,Other
C06524_Nornicotine,11355.5,0.15626353133151002,-0.09709675861069522,-0.161184421485628,-0.29756286566499807,-0.06338552089508886,-0.27626880147288424,0.8844821869946273,0.3662426515582266,C06524,Other
C05635_5-Hydroxyindoleacetate,11357.5,0.155442078136992,-0.09728998599101502,0.5532367575286028,0.4293456316973648,0.6305692130598775,0.5608512004191348,-0.36575749942824365,0.3662426515582266,C05635,Other
C00489_Glutarate,9370.0,0.16661374123343664,0.09472972320177764,1.424302872574914,1.5798725377110783,1.5371917969852142,1.596695903159686,0.14955220550404755,0.37280629921364844,C00489,Other
C00576_Betaine aldehyde,9369.5,0.16639610598858312,0.09477803004685759,0.3160999992740995,0.4250050367716452,0.12997515964262774,0.24341188644640122,0.4270989057571471,0.37280629921364844,C00576,Other
C00630_Isobutyryl CoA,11331.5,0.1663966794486189,-0.0947780300468577,-0.40981146379942474,-0.5396110088906607,-0.35837726368715495,-0.5500165589979407,0.3969594406940065,0.37280629921364844,C00630,Other
C00954_Indole-3-acetate,9375.5,0.16900552231018728,0.09419834790589832,-0.4461562157437877,-0.33294793816102003,-0.8793497211891215,-0.20931436002590176,-0.42225233439660415,0.37280629921364844,C00954,Other
C05123_Isethionate,11298.5,0.1811229982043241,-0.0915897782715811,0.019724136314004742,-0.10905477538771019,-0.2489844814769746,-0.2850951452652195,,0.39374564827026975,C05123,Other
C01672_Cadaverine,9411.0,0.18507175644593699,0.09076856190522198,1.4835367601409213,1.617088573946958,1.7253329816732033,1.7938562691966706,0.12435802726445441,0.39658233524129355,C01672,Polyamine
C02614_Citramalate,11283.0,0.18836885112751323,-0.09009226607410259,0.1841843350549875,0.11224208722303369,0.24787606306660348,0.1489731862897301,-0.7145366176050939,0.39796236153699976,C02614,Other
C00262_Hypoxanthine,9456.0,0.20702422326522762,0.08642094584802662,-0.533180412790215,-0.44833073190306205,-0.4681112348052452,-0.3987537854173553,-0.2500603865088173,0.4313004651358909,C00262,Other
C00440_5-Methyltetrahydrofolate,11224.0,0.21789160310906275,-0.0843920583546689,-0.5030804412384164,-0.5880055056790442,-0.7385363982988339,-0.7754155971763398,0.22504056232758204,0.4416721684643164,C00440,Other
C00711_Malate,9475.0,0.21684149536510033,0.08458528573498869,0.43157535594605223,0.5145887410982585,0.5054087234205085,0.5005989114328664,0.25380740594088774,0.4416721684643164,C00711,Other
C01104_Trimethylamine N-oxide,9488.0,0.22374594698342143,0.08332930776291003,-0.9291734696251222,-0.8168184576708993,-1.1246507285896947,-1.0861141400441916,-0.1859324949596007,0.44589327806424267,C01104,Other
C03795_N6-Methyl-2'-deoxyadenosine,11203.5,0.22889188273964456,-0.0824114777063909,-0.7733038484600041,-0.902969034814941,-1.0547869957398328,-1.081645017034381,0.2236411221627508,0.44589327806424267,C03795,Other
C00242_Guanine,11204.5,0.2283473437819391,-0.0825080913965508,-0.4132357023945489,-0.5041835135033588,-0.4070263785230128,-0.5289751732214111,0.28698403998617605,0.44589327806424267,C00242,Other
C01921_Glycocholate,9503.5,0.23218495943326056,0.08183179556543163,0.46192430237231613,0.6257078589595226,0.511196064705264,0.5544451896568903,0.4378327737019332,0.4465095373716549,C01921,Other
"C03283_2,4-Diaminobutyrate",9520.5,0.24169662250853108,0.08018936283271338,-0.8036243080126461,-0.7418367348618768,-0.9517132286802434,-0.8543432678597176,-0.1154194933615381,0.4589176376744261,C03283,Other
C06423_Octanoate,11175.0,0.2448306964553093,-0.07965798753683395,0.08330756343162292,-0.010844940157022911,-0.12253638201319417,-0.16354539022800108,,0.45905755585370495,C06423,Other
C00152_Asn,11168.0,0.248865473058968,-0.07898169170571467,0.716178797460013,0.6530191518165362,0.8593582832245654,0.8029076089370832,-0.13319450406593247,0.460861987146237,C00152,Other
C02230_3-Methylguanine,11148.0,0.2606362474632926,-0.07704941790251674,-0.791495147316476,-0.8638955672653955,-1.030382156322665,-1.0800470448389843,0.12627641651384652,0.46883697221307546,C02230,Other
N-Acetylvaline,11134.5,0.26879986406882994,-0.07574513308535824,-0.5791462935091225,-0.6447619736940654,-0.5270997630920189,-0.7967827527810782,0.15483883850708333,0.46883697221307546,N-Acetylvaline,Other
C01959_Taurocyamine,9564.0,0.2672717864169396,0.07598666731075798,-0.5190704552936063,-0.41387590966660853,-0.6527744181004375,-0.6385107871449814,-0.32673209819445775,0.46883697221307546,C01959,Other
C05660_5-Methoxyindoleacetate,9550.5,0.2591461535191587,0.07729095212791648,0.09449629147952995,0.17077145895551216,0.12817615223138645,0.19279939950738312,0.8537372537905542,0.46883697221307546,C05660,Other
C01008_Trimethylsulfonium,9563.5,0.26697059307492643,0.07603497415583793,-0.6107594637776572,-0.6031078098493863,-0.9142872735394063,-0.8221839751905335,-0.018188396125918733,0.46883697221307546,C01008,Other
3-Indoxyl sulfate,9584.0,0.2796341318289052,0.07405439350756005,-0.7725093987658339,-0.6989832658064552,-0.9641389477868101,-0.9371412789921052,-0.14429456913354566,0.4821278134981124,3-Indoxyl sulfate,Other
C00581_Guanidinoacetate,9594.0,0.2859639915744788,0.07308825660596108,-0.1539418006563221,-0.07847372847820237,-0.1797300393783141,-0.07130353492287855,-0.9721033838221047,0.48743862200195254,C00581,Other
C17714_Heptanoate,9620.0,0.30285577244007755,0.07057630066180376,-0.14178587647866697,-0.07605178129645841,-0.2828591560635263,-0.2517033966869595,-0.8986598948519885,0.48859080165338525,C17714,Other
C05127_1-Methylhistamine,11086.5,0.2992318029001585,-0.07110767595768319,-0.5935410566346033,-0.65288062739621,-0.6651887118000481,-0.7622156112073515,0.13747140600544197,0.48859080165338525,C05127,Other
C00255_Riboflavin,11078.5,0.3045182957732242,-0.07033476643640402,-0.32144043140078205,-0.41868059105207334,-0.29362460392630463,-0.5564332015459501,0.38129863565855343,0.48859080165338525,C00255,Other
C00423_trans-Cinnamate,11092.0,0.2956320176056967,-0.07163905125356274,0.6870173501593958,0.5917251585725887,0.8265015841992231,0.7608878722428891,-0.21541929752454878,0.48859080165338525,C00423,Other
2-Hydroxypentanoate,9625.0,0.30618356903612143,0.07009323221100427,0.35696575294747424,0.43572643877648387,0.3992187263088327,0.5972827155394516,0.2876369845502305,0.48859080165338525,2-Hydroxypentanoate,Other
C00879_Mucate,9603.0,0.2917357951681805,0.072218733394522,-0.3576310494965872,-0.29798256082360014,-0.5118253883768973,-0.4688857354465674,-0.26324409676870597,0.48859080165338525,C00879,Other
C00637_Indole-3-acetaldehyde,9632.5,0.3112133819889872,0.06936862953480505,0.5407410429804766,0.6048027730763231,0.20062365361598578,0.3694407779803073,0.16152689108972604,0.49138955050892713,C00637,Other
C00253_Nicotinate,9662.5,0.3318774485031314,0.06647021883000825,0.0867123670116032,0.11860862439979333,-0.06317054287616397,0.010524853721402216,0.45189924007913507,0.5185585132861428,C00253,Other
C03264_2-Hydroxy-4-methylpentanoate,9668.0,0.3357609390898848,0.06593884353412882,-0.10766574426878296,-0.07688189850008693,-0.3431849077975886,-0.2812347767765857,-0.4858434425350498,0.5192179470462136,C03264,Other
C02918_1-Methylnicotinamide,9684.0,0.3472219830479535,0.06439302449157047,-0.6923409067269047,-0.6552743796295084,-0.8093081056458151,-0.7235607853315744,-0.07938346659329659,0.5314622189509493,C02918,Other
C00024_Acetyl CoA,11002.5,0.35782057826792657,-0.06299212598425208,-0.30730964760839546,-0.38146668628452646,-0.11020809354013905,-0.23179491720146017,0.3118640127685806,0.5421523913150402,C00024,Other
C00429_Dihydrouracil,9709.5,0.3659959643136611,0.0619293753924931,2.1065216331985885,2.2520835797798093,3.0066580735053634,3.0450588415597597,0.09639763803552859,0.5489939464704917,C00429,Other
C00493_Shikimate,9736.5,0.3865488062663275,0.05932080575817589,-0.03204854166001338,0.01763582675381587,-0.29358747917323014,-0.23477003996994228,,0.5740823855440507,C00493,Other
C06103_6-Hydroxyhexanoate,9746.5,0.39433259036486545,0.05835466885657703,0.3386574008119518,0.39336923784058686,0.16474973472224486,0.21067374172057307,0.21605761629250947,0.5799008681836256,C06103,Other
C00163_Propionate,9772.0,0.4146224812750108,0.05589101975749966,2.9831987053296345,3.024507492766974,3.1293175643628506,3.138132913439166,0.019840158634206215,0.6038191474878798,C00163,SCFA
