epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
morganii,Morganella morganii,79.4384687395885,Other,Morganella,,,,,Fumarate,C00122,Morganella morganii,False
mucilaginosa,Rothia mucilaginosa,90.5771204960813,Other,Rothia,,,,,Fumarate,C00122,Rothia mucilaginosa,False
nucleatum,Fusobacterium nucleatum,88.88888888888906,Other,Fusobacterium,,,,,Fumarate,C00122,Fusobacterium nucleatum,False
onderdonkii,,,,,Alistipes,Alistipes onderdonkii,0.0037186623966693,SVR,Fumarate,C00122,Alistipes onderdonkii,False
pilosicoli,Brachyspira pilosicoli,84.68219788935951,Other,Brachyspira,,,,,Fumarate,C00122,Brachyspira pilosicoli,False
pneumoniae,,,,,Klebsiella,Klebsiella pneumoniae,0.0036431203319838,SVR,Fumarate,C00122,Klebsiella pneumoniae,False
quasipneumoniae,,,,,Klebsiella,Klebsiella quasipneumoniae,0.0044546393674202,SVR,Fumarate,C00122,Klebsiella quasipneumoniae,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0046866233937131,SVR,Fumarate,C00122,Lachnospira sp000436475,False
sp000436535,,,,,Lachnospira,Lachnospira sp000436535,0.0044046395161027,SVR,Fumarate,C00122,Lachnospira sp000436535,False
sp000436835,,,,,Eubacterium_R,Eubacterium_R sp000436835,0.0045058136456549,SVR,Fumarate,C00122,Eubacterium_R sp000436835,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0108161045154789,SVR,Fumarate,C00122,Leptotrichia_A sp001274535,False
sp007293315,,,,,Alkalihalobacillus_A,Alkalihalobacillus_A sp007293315,0.0111859238728598,SVR,Fumarate,C00122,Alkalihalobacillus_A sp007293315,False
sp013333035,,,,,CAG-793,CAG-793 sp013333035,0.0043260508073881,SVR,Fumarate,C00122,CAG-793 sp013333035,False
sp900539755,,,,,Alistipes_A,Alistipes_A sp900539755,0.0070096859378468,SVR,Fumarate,C00122,Alistipes_A sp900539755,False
sp900542265,,,,,CAG-1427,CAG-1427 sp900542265,0.0038274445381528,SVR,Fumarate,C00122,CAG-1427 sp900542265,False
sp900542625,,,,,Fusobacterium_B,Fusobacterium_B sp900542625,0.007698245583069,SVR,Fumarate,C00122,Fusobacterium_B sp900542625,False
sp900548365,,,,,Collinsella,Collinsella sp900548365,0.005379219661399,SVR,Fumarate,C00122,Collinsella sp900548365,False
sp900753285,,,,,UMGS1696,UMGS1696 sp900753285,0.0077704650252285,SVR,Fumarate,C00122,UMGS1696 sp900753285,False
