feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
CAG-41 sp900066215,3474.0,0.6642566962157848,0.04019892250310819,3.374069453987776,3.555771507677992,4.433949714359517,4.571401049314187,0.07567294889017832,0.9714815461665754
Prevotella sp002297965,3712.0,0.7830141262102599,-0.025556016024312678,0.7122786571851772,0.671382585264424,1.6910180271121114,1.6348436639227195,-0.0853066456938944,0.9714815461665754
Enterococcus_D gallinarum,3506.0,0.7351712143614217,0.03135792236496748,-0.8022272413840167,-0.6276253919357179,-1.3499184951191108,-1.1679531338204399,-0.3541072365372968,0.9714815461665754
UBA9506 sp003506415,3466.0,0.6469589393811374,0.042409172537643314,-0.954455570599605,-0.8215098938339914,-1.9610552163948043,-1.3694381669019204,-0.21640009240629388,0.9714815461665754
Niameybacter massiliensis,3717.0,0.7715406282053614,-0.02693742229589713,0.19630659219577815,-0.18957458859020837,1.5974086240338004,1.5600992833202305,,0.9714815461665754
GCA-900066495 sp014323405,3761.0,0.6729738543803889,-0.03909379748584052,-0.7917090984207669,-0.9340885881891122,-1.368079558779721,-1.5004453061231455,0.23858894959176744,0.9714815461665754
Cetobacterium_A sp000799075,3500.0,0.7216794190282505,0.033015609890868935,0.11623357059252568,0.18979089880639735,1.6644395706203952,1.6634807935261762,0.7073839982412423,0.9714815461665754
Victivallis lenta,3721.0,0.7623975393718029,-0.02804254731316491,0.355710838975985,0.08192900239987597,1.6910180271121114,1.6859197428837174,-2.1182587691118675,0.9714815461665754
Streptococcus gallolyticus,3757.0,0.6817351774834717,-0.03798867246857296,-0.23067031480060865,-0.45147157434698665,0.5879201993277849,-0.43298522934633965,0.968802804278597,0.9714815461665754
Finegoldia sp900766215,3772.0,0.6491110011923678,-0.042132891283326535,-1.294112741222943,-1.2416546100846777,-2.209936693713736,-2.3663617155304717,-0.05969939213140671,0.9714815461665754
