met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
D-Lactate,lac_D,onderdonkii,Other,Early_CRC,37.21517936040184,26.49071914200873,3,Alistipes onderdonkii,True,False
Glycerol,glyc,hadrus,Other,Early_CRC,37.083791589871566,35.31538358408208,6,Anaerostipes hadrus,False,True
Deoxyadenosine,dad_2,faecis,Other,Early_CRC,36.80508964819946,51.201401690692656,2,faecis,False,True
Glycine,gly,hadrus,Amino Acid,Early_CRC,36.65824268443575,16.783850192145483,12,Anaerostipes hadrus,False,True
Water,h2o,intestinihominis,Other,Early_CRC,36.61776976907171,22.426863501067828,7,intestinihominis,True,False
CO2,co2,hadrus,Other,Early_CRC,35.989700550075966,23.308121476441787,13,Anaerostipes hadrus,False,True
Adenine,ade,faecis,Other,Early_CRC,34.576457412186635,,1,faecis,False,True
Serine,ser_L,prausnitzii,Other,Early_CRC,34.399898914373246,14.31610876301811,3,Faecalibacterium prausnitzii,True,False
Lysine,lys_L,inulinivorans,Amino Acid,Early_CRC,34.28749829038664,23.59872268053842,7,Roseburia inulinivorans,True,False
Glycerol,glyc,onderdonkii,Other,Early_CRC,33.314590316620226,35.33272725955658,9,Alistipes onderdonkii,True,False
Water,h2o,wadsworthia,Other,Early_CRC,32.22852909230876,15.353240931882649,7,Bilophila wadsworthia,False,True
CO2,co2,prausnitzii,Other,Early_CRC,31.859760390225016,31.64226429637751,5,Faecalibacterium prausnitzii,True,False
Water,h2o,inulinivorans,Other,Early_CRC,31.5126091868943,21.829127318620177,7,Roseburia inulinivorans,True,False
Glutamine,gln_L,prausnitzii,Amino Acid,Early_CRC,31.04985166569105,40.299511577597734,3,Faecalibacterium prausnitzii,True,False
Aspartate,asp_L,faecis,Amino Acid,Early_CRC,30.61045176324157,26.545820770705813,7,faecis,False,True
Glutamate,glu_L,prausnitzii,Amino Acid,Early_CRC,30.45198230710005,6.039549748746771,3,Faecalibacterium prausnitzii,True,False
Glutathione (reduced),gthrd,prausnitzii,Other,Early_CRC,29.941550119997082,25.64364143075391,2,Faecalibacterium prausnitzii,True,False
Valine,val_L,bifidum,Other,Early_CRC,29.86704606928048,4.847657873353813,3,Bifidobacterium bifidum,False,True
Acetate,ac,wadsworthia,SCFA,Early_CRC,28.86552220179796,23.131292457001557,6,Bilophila wadsworthia,False,True
Acetate,ac,onderdonkii,SCFA,Early_CRC,28.778752596233765,16.957554954829487,7,Alistipes onderdonkii,True,False
Valine,val_L,onderdonkii,Other,Early_CRC,28.718950659708163,9.992135762735169,2,Alistipes onderdonkii,True,False
Succinate,succ,intestinihominis,Other,Early_CRC,28.43136093296189,28.45061485312175,8,intestinihominis,True,False
Hydrogen,h2,inulinivorans,Other,Early_CRC,28.240021270416207,,1,Roseburia inulinivorans,True,False
Threonine,thr_L,intestinihominis,Amino Acid,Early_CRC,27.963381195000323,27.620203768052708,4,intestinihominis,True,False
Tyrosine,tyr_L,inulinivorans,Other,Early_CRC,27.960069501755736,,1,Roseburia inulinivorans,True,False
rbflvrd,rbflvrd,prausnitzii,Other,Early_CRC,27.952189342498674,31.180312852472444,2,Faecalibacterium prausnitzii,True,False
Uridine,uri,prausnitzii,Other,Early_CRC,27.899786340895055,14.614590926601466,2,Faecalibacterium prausnitzii,True,False
Lysine,lys_L,prausnitzii,Amino Acid,Early_CRC,27.809389041744204,26.820078020773106,14,Faecalibacterium prausnitzii,True,False
CO2,co2,onderdonkii,Other,Early_CRC,27.53500623022639,22.181521466135486,10,Alistipes onderdonkii,True,False
Acetate,ac,prausnitzii,SCFA,Early_CRC,27.521603357863256,21.29989155729099,3,Faecalibacterium prausnitzii,True,False
Cysteine,cys_L,intestini,Other,Early_CRC,25.565416892236954,28.597738765236766,3,intestini,True,False
12ppd_S,12ppd_S,faecis,Other,Early_CRC,25.17539154884815,24.282691933058103,14,faecis,False,True
Glycine,gly,intestini,Amino Acid,Early_CRC,24.728915905741705,28.677631694261297,3,intestini,True,False
Glutamate,glu_L,bifidum,Amino Acid,Early_CRC,23.669182233386973,29.30444016400372,3,Bifidobacterium bifidum,False,True
strch2,strch2,prausnitzii,Other,Early_CRC,23.284858645313033,19.689291503599417,9,Faecalibacterium prausnitzii,True,False
Phosphate,pi,wadsworthia,Other,Early_CRC,23.156914106415773,14.707698747475057,3,Bilophila wadsworthia,False,True
Serine,ser_L,intestinihominis,Other,Early_CRC,22.862566967503856,14.31383868662019,12,intestinihominis,True,False
Serine,ser_L,bifidum,Other,Early_CRC,22.121095617590555,,1,Bifidobacterium bifidum,False,True
Hydrogen,h2,faecis,Other,Early_CRC,22.048418086616618,8.27122194898138,3,faecis,False,True
Acetate,ac,intestinihominis,SCFA,Early_CRC,21.64386196324572,31.18463656690293,10,intestinihominis,True,False
Hypoxanthine,hxan,prausnitzii,Other,Early_CRC,21.1183574284727,17.096858853373583,16,Faecalibacterium prausnitzii,True,False
Serine,ser_L,inulinivorans,Other,Early_CRC,20.943910678090976,25.60084330432844,3,Roseburia inulinivorans,True,False
Butyrate,but,inulinivorans,SCFA,Early_CRC,20.690637779439363,24.943977627395434,8,Roseburia inulinivorans,True,False
Histidine,his_L,bifidum,Other,Early_CRC,20.615709212330884,,1,Bifidobacterium bifidum,False,True
Fructose,fru,inulinivorans,Other,Early_CRC,20.234611979077002,11.776622742659109,3,Roseburia inulinivorans,True,False
Maltose,malt,prausnitzii,Other,Early_CRC,20.156755954863144,19.363272405237222,7,Faecalibacterium prausnitzii,True,False
Isoleucine,ile_L,prausnitzii,Amino Acid,Early_CRC,19.481412044259432,18.43637781179229,14,Faecalibacterium prausnitzii,True,False
Deoxyguanosine,dgsn,bifidum,Other,Early_CRC,19.369291024487442,26.240288359976535,2,Bifidobacterium bifidum,False,True
Water,h2o,prausnitzii,Other,Early_CRC,19.200474316815075,22.08554585186904,2,Faecalibacterium prausnitzii,True,False
Isoleucine,ile_L,bifidum,Amino Acid,Early_CRC,19.056026220546414,,1,Bifidobacterium bifidum,False,True
Nicotinate,nac,faecis,Other,Early_CRC,18.844921930518492,18.762082840300902,6,faecis,False,True
Asparagine,asn_L,intestinihominis,Other,Early_CRC,18.525016514807234,20.942122480677426,2,intestinihominis,True,False
Ammonium,nh4,bifidum,Other,Early_CRC,18.287732537059682,2.4215118685009713,2,Bifidobacterium bifidum,False,True
Arginine,arg_L,onderdonkii,Polyamine,Early_CRC,18.222580937906645,,1,Alistipes onderdonkii,True,False
