epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,stage,display_species,genus_confirmed
succinatiphilus,Dialister succinatiphilus,52.34919787787601,Other,Dialister,,,,,Fumarate,C00122,Early_CRC,Dialister succinatiphilus,False
wadsworthia,Bilophila wadsworthia,70.53145719596621,Other,Bilophila,,,,,Fumarate,C00122,Early_CRC,Bilophila wadsworthia,False
albertii,Escherichia albertii,21.89283532028938,Other,Escherichia,,,,,GABA,C00334,Early_CRC,Escherichia albertii,False
avistercoris,,,,,Alistipes,Alistipes avistercoris,0.0042892476759578,SVR,GABA,C00334,Early_CRC,Alistipes avistercoris,True
bifidum,,,,,Bifidobacterium,Bifidobacterium bifidum,0.0054417716039056,SVR,GABA,C00334,Early_CRC,Bifidobacterium bifidum,False
caecorum,,,,,Avimicrobium,Avimicrobium caecorum,0.010634012749668,SVR,GABA,C00334,Early_CRC,Avimicrobium caecorum,False
faecium,,,,,Avispirillum,Avispirillum faecium,0.0061929431399669,SVR,GABA,C00334,Early_CRC,Avispirillum faecium,False
fergusonii,Escherichia fergusonii,59.32975331639756,Other,Escherichia,,,,,GABA,C00334,Early_CRC,Escherichia fergusonii,False
gallinarii,,,,,Alangreenwoodia,Alangreenwoodia gallinarii,0.0065886306173768,SVR,GABA,C00334,Early_CRC,Alangreenwoodia gallinarii,False
hongkongensis,,,,,Streptobacillus,Streptobacillus hongkongensis,0.0067509905971429,SVR,GABA,C00334,Early_CRC,Streptobacillus hongkongensis,False
intestinavium,,,,,Duodenibacillus,Duodenibacillus intestinavium,0.0063499929587953,SVR,GABA,C00334,Early_CRC,Duodenibacillus intestinavium,False
intestinihominis,intestinihominis,1.2123837418685528,Other,intestinihominis,,,,,GABA,C00334,Early_CRC,intestinihominis,False
leptum,,,,,Clostridium_A,Clostridium_A leptum,0.0108000823473011,SVR,GABA,C00334,Early_CRC,Clostridium_A leptum,False
onderdonkii,Alistipes onderdonkii,50.58148320968551,Other,Alistipes,,,,,GABA,C00334,Early_CRC,Alistipes onderdonkii,True
parvula_A,,,,,Veillonella,Veillonella parvula_A,0.0154951124036779,SVR,GABA,C00334,Early_CRC,Veillonella parvula_A,False
salyersiae,Bacteroides salyersiae,31.079901610727603,Other,Bacteroides,,,,,GABA,C00334,Early_CRC,Bacteroides salyersiae,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0123716717215274,SVR,GABA,C00334,Early_CRC,Lachnospira sp000436475,False
sp002350855,,,,,UBA3839,UBA3839 sp002350855,0.0042962937254738,SVR,GABA,C00334,Early_CRC,UBA3839 sp002350855,False
sp002359025,,,,,UBA3379,UBA3379 sp002359025,0.0076721950738854,SVR,GABA,C00334,Early_CRC,UBA3379 sp002359025,False
sp002431975,,,,,UBA5884,UBA5884 sp002431975,0.0048977951955768,SVR,GABA,C00334,Early_CRC,UBA5884 sp002431975,False
sp002438685,,,,,CAG-177,CAG-177 sp002438685,0.0040892515454902,SVR,GABA,C00334,Early_CRC,CAG-177 sp002438685,False
sp003445125,,,,,UBA11540,UBA11540 sp003445125,0.0046548477878681,SVR,GABA,C00334,Early_CRC,UBA11540 sp003445125,False
sp014323405,,,,,GCA-900066495,GCA-900066495 sp014323405,0.0040607165765345,SVR,GABA,C00334,Early_CRC,GCA-900066495 sp014323405,False
sp017483765,,,,,UBA3839,UBA3839 sp017483765,0.0061154371328831,SVR,GABA,C00334,Early_CRC,UBA3839 sp017483765,False
sp900539345,,,,,UMGS124,UMGS124 sp900539345,0.0084882893939769,SVR,GABA,C00334,Early_CRC,UMGS124 sp900539345,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0048746205880466,SVR,GABA,C00334,Early_CRC,CAG-488 sp900539465,False
splanchnicus,Odoribacter splanchnicus,30.662020774512143,Other,Odoribacter,,,,,GABA,C00334,Early_CRC,Odoribacter splanchnicus,False
thermophilus,thermophilus,77.72318109781199,Other,thermophilus,,,,,GABA,C00334,Early_CRC,thermophilus,False
thetaiotaomicron,Bacteroides thetaiotaomicron,80.88427363237363,Other,Bacteroides,,,,,GABA,C00334,Early_CRC,Bacteroides thetaiotaomicron,False
uniformis,Bacteroides uniformis,0.6343249544349473,Other,Bacteroides,,,,,GABA,C00334,Early_CRC,Bacteroides uniformis,False
aeruginosa,Pseudomonas aeruginosa,64.24737508910398,Amino Acid,Pseudomonas,,,,,Leucine,C00123,Early_CRC,Pseudomonas aeruginosa,False
circumdentaria,,,,,Porphyromonas,Porphyromonas circumdentaria,0.0056017468018856,SVR,Leucine,C00123,Early_CRC,Porphyromonas circumdentaria,False
coahuilensis,,,,,Bacillus_T,Bacillus_T coahuilensis,0.007493699428987,SVR,Leucine,C00123,Early_CRC,Bacillus_T coahuilensis,False
coli,,,,,Escherichia,Escherichia coli,0.007874449752669,SVR,Leucine,C00123,Early_CRC,Escherichia coli,False
eggerthii,Bacteroides eggerthii,42.96442980146996,Amino Acid,Bacteroides,,,,,Leucine,C00123,Early_CRC,Bacteroides eggerthii,False
eutactus,Coprococcus eutactus,57.14285714285722,Amino Acid,Coprococcus,,,,,Leucine,C00123,Early_CRC,Coprococcus eutactus,False
formicigenerans,Dorea formicigenerans,72.76278228835132,Amino Acid,Dorea,,,,,Leucine,C00123,Early_CRC,Dorea formicigenerans,False
intestinipullorum,,,,,Excrementavichristensenella,Excrementavichristensenella intestinipullorum,0.0061422169178584,SVR,Leucine,C00123,Early_CRC,Excrementavichristensenella intestinipullorum,False
longum,,,,,Bifidobacterium,Bifidobacterium longum,0.0065976308614772,SVR,Leucine,C00123,Early_CRC,Bifidobacterium longum,False
mortiferum,,,,,Fusobacterium_A,Fusobacterium_A mortiferum,0.0116888243580845,SVR,Leucine,C00123,Early_CRC,Fusobacterium_A mortiferum,False
ornithinolytica,,,,,Klebsiella,Klebsiella ornithinolytica,0.0143087366800026,SVR,Leucine,C00123,Early_CRC,Klebsiella ornithinolytica,False
parasanguinis,Streptococcus parasanguinis,53.905741171101525,Amino Acid,Streptococcus,,,,,Leucine,C00123,Early_CRC,Streptococcus parasanguinis,False
plautii,Flavonifractor plautii,58.32404512274974,Amino Acid,Flavonifractor,,,,,Leucine,C00123,Early_CRC,Flavonifractor plautii,False
prausnitzii,Faecalibacterium prausnitzii,50.4351118939506,Amino Acid,Faecalibacterium,,,,,Leucine,C00123,Early_CRC,Faecalibacterium prausnitzii,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.012290395849589,SVR,Leucine,C00123,Early_CRC,Egerieicola pullicola,False
ramosum,ramosum,47.61320394745817,Amino Acid,ramosum,,,,,Leucine,C00123,Early_CRC,ramosum,False
saccharogumia,Erysipelatoclostridium saccharogumia,79.37192399791168,Amino Acid,Erysipelatoclostridium,,,,,Leucine,C00123,Early_CRC,Erysipelatoclostridium saccharogumia,False
salivarius,,,,,Ligilactobacillus,Ligilactobacillus salivarius,0.0055635562511009,SVR,Leucine,C00123,Early_CRC,Ligilactobacillus salivarius,False
sinus,Oribacterium sinus,53.486043055731514,Amino Acid,Oribacterium,,,,,Leucine,C00123,Early_CRC,Oribacterium sinus,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0140695680901876,SVR,Leucine,C00123,Early_CRC,Fusobacterium sp000235465,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.010102006134805,SVR,Leucine,C00123,Early_CRC,Lachnospira sp000436475,False
sp000436535,,,,,Lachnospira,Lachnospira sp000436535,0.006690056391088,SVR,Leucine,C00123,Early_CRC,Lachnospira sp000436535,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0078762053235145,SVR,Leucine,C00123,Early_CRC,Leptotrichia_A sp001274535,False
sp004793665,,,,,NM07-P-09,NM07-P-09 sp004793665,0.0054391724034463,SVR,Leucine,C00123,Early_CRC,NM07-P-09 sp004793665,False
sp014287795,,,,,Christensenella,Christensenella sp014287795,0.0060285116145378,SVR,Leucine,C00123,Early_CRC,Christensenella sp014287795,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0132402142036915,SVR,Leucine,C00123,Early_CRC,CCUG-7971 sp017590215,False
sp900539345,,,,,UMGS124,UMGS124 sp900539345,0.0064438965868285,SVR,Leucine,C00123,Early_CRC,UMGS124 sp900539345,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0095462390506801,SVR,Leucine,C00123,Early_CRC,Aphodousia sp905212345,False
sp905213155,,,,,Acidaminococcus,Acidaminococcus sp905213155,0.0057018144157028,SVR,Leucine,C00123,Early_CRC,Acidaminococcus sp905213155,False
copri_A,,,,,Prevotella,Prevotella copri_A,0.0326544522027675,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Prevotella copri_A,False
desulfuricans_A,,,,,Desulfovibrio,Desulfovibrio desulfuricans_A,0.0216158864956854,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Desulfovibrio desulfuricans_A,False
fergusonii,Escherichia fergusonii,25.363640607464664,Other,Escherichia,,,,,Glucose-6-Phosphate,C00092,Early_CRC,Escherichia fergusonii,False
hydrophila,Aeromonas hydrophila,67.18146718146717,Other,Aeromonas,,,,,Glucose-6-Phosphate,C00092,Early_CRC,Aeromonas hydrophila,False
indistinctus,,,,,Alistipes_A,Alistipes_A indistinctus,0.0277256207049428,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Alistipes_A indistinctus,False
maltaromaticum,,,,,Carnobacterium,Carnobacterium maltaromaticum,0.016111864165001,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Carnobacterium maltaromaticum,False
massiliensis,,,,,Megasphaera,Megasphaera massiliensis,0.0174868250440423,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Megasphaera massiliensis,False
oxytoca,Klebsiella oxytoca,46.4044622551895,Other,Klebsiella,,,,,Glucose-6-Phosphate,C00092,Early_CRC,Klebsiella oxytoca,False
provencensis,,,,,Acidaminococcus,Acidaminococcus provencensis,0.0188873449848266,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Acidaminococcus provencensis,False
sp000186165,,,,,Neisseria,Neisseria sp000186165,0.0187696357248922,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Neisseria sp000186165,False
sp000435795,,,,,Copromonas,Copromonas sp000435795,0.0182263941210277,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Copromonas sp000435795,False
sp001657575,,,,,Barb7,Barb7 sp001657575,0.0203669158955762,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Barb7 sp001657575,False
sp002438575,,,,,CAG-83,CAG-83 sp002438575,0.026718445772191,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,CAG-83 sp002438575,False
sp003150615,,,,,Merdimorpha,Merdimorpha sp003150615,0.0167425527378918,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Merdimorpha sp003150615,False
sp016292635,,,,,SFEL01,SFEL01 sp016292635,0.0186011192114546,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,SFEL01 sp016292635,False
sp016292785,,,,,CAG-488,CAG-488 sp016292785,0.0137960124166413,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,CAG-488 sp016292785,False
sp017460955,,,,,UBA3855,UBA3855 sp017460955,0.0156563608255737,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,UBA3855 sp017460955,False
sp018065665,,,,,Sodaliphilus,Sodaliphilus sp018065665,0.0192132337151713,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Sodaliphilus sp018065665,False
sp900548415,,,,,Porphyromonas,Porphyromonas sp900548415,0.0287782438567826,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Porphyromonas sp900548415,False
sp900761895,,,,,HGM11417,HGM11417 sp900761895,0.0158815817022619,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,HGM11417 sp900761895,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0185020406043088,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Aphodousia sp905212345,False
subflava,,,,,Neisseria,Neisseria subflava,0.0367556377236972,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Neisseria subflava,False
vulgaris_A,,,,,Cupidesulfovibrio,Cupidesulfovibrio vulgaris_A,0.016539412712742,LightGBM,Glucose-6-Phosphate,C00092,Early_CRC,Cupidesulfovibrio vulgaris_A,False
butyricum,,,,,Clostridium,Clostridium butyricum,0.0471493062059194,RF,Riboflavin,C00255,Early_CRC,Clostridium butyricum,False
eutactus,Coprococcus eutactus,50.0,Other,Coprococcus,,,,,Riboflavin,C00255,Early_CRC,Coprococcus eutactus,False
forsythia_A,,,,,Tannerella,Tannerella forsythia_A,0.0040565063463496,RF,Riboflavin,C00255,Early_CRC,Tannerella forsythia_A,False
hypermegale,Megamonas hypermegale,10.025290350278567,Other,Megamonas,,,,,Riboflavin,C00255,Early_CRC,Megamonas hypermegale,False
intestinavium,,,,,Scatomorpha,Scatomorpha intestinavium,0.0052240335293315,RF,Riboflavin,C00255,Early_CRC,Scatomorpha intestinavium,False
intestinihominis,,,,,Christensenella,Christensenella intestinihominis,0.0044114788058347,RF,Riboflavin,C00255,Early_CRC,Christensenella intestinihominis,False
medium,Treponema medium,0.1622426064817628,Other,Treponema,,,,,Riboflavin,C00255,Early_CRC,Treponema medium,False
plebeius_A,,,,,Phocaeicola,Phocaeicola plebeius_A,0.0045878960582242,RF,Riboflavin,C00255,Early_CRC,Phocaeicola plebeius_A,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0238521137195346,RF,Riboflavin,C00255,Early_CRC,Fusobacterium sp000235465,False
sp000434475,,,,,Dialister,Dialister sp000434475,0.0064022111621318,RF,Riboflavin,C00255,Early_CRC,Dialister sp000434475,False
sp000434975,,,,,Prevotella,Prevotella sp000434975,0.0044906593267446,RF,Riboflavin,C00255,Early_CRC,Prevotella sp000434975,False
sp000686145,,,,,Romboutsia_D,Romboutsia_D sp000686145,0.0365324108458801,RF,Riboflavin,C00255,Early_CRC,Romboutsia_D sp000686145,False
sp000799075,,,,,Cetobacterium_A,Cetobacterium_A sp000799075,0.005249245920761,RF,Riboflavin,C00255,Early_CRC,Cetobacterium_A sp000799075,False
sp003458715,,,,,Holdemanella,Holdemanella sp003458715,0.0066906778041763,RF,Riboflavin,C00255,Early_CRC,Holdemanella sp003458715,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0484440704887447,RF,Riboflavin,C00255,Early_CRC,CCUG-7971 sp017590215,False
sp900539095,,,,,Ruminococcus_D,Ruminococcus_D sp900539095,0.0073735283268839,RF,Riboflavin,C00255,Early_CRC,Ruminococcus_D sp900539095,False
sp900540355,,,,,Intestinibacter,Intestinibacter sp900540355,0.0062573963689078,RF,Riboflavin,C00255,Early_CRC,Intestinibacter sp900540355,False
sp900557035,,,,,Prevotella,Prevotella sp900557035,0.0052423726791613,RF,Riboflavin,C00255,Early_CRC,Prevotella sp900557035,False
sp905214315,,,,,UMGS1322,UMGS1322 sp905214315,0.0106612867241064,RF,Riboflavin,C00255,Early_CRC,UMGS1322 sp905214315,False
stercoris,,,,,Bacteroides,Bacteroides stercoris,0.0083665821759446,RF,Riboflavin,C00255,Early_CRC,Bacteroides stercoris,False
subflava,,,,,Neisseria,Neisseria subflava,0.0048035669796686,RF,Riboflavin,C00255,Early_CRC,Neisseria subflava,False
timonensis,,,,,Raoultibacter,Raoultibacter timonensis,0.0052645051864543,RF,Riboflavin,C00255,Early_CRC,Raoultibacter timonensis,False
weinsteinii,,,,,Romboutsia_A,Romboutsia_A weinsteinii,0.0125898606579787,RF,Riboflavin,C00255,Early_CRC,Romboutsia_A weinsteinii,False
aalborgi,,,,,Brachyspira,Brachyspira aalborgi,0.0107419889766393,SVR,Urea,C00086,Early_CRC,Brachyspira aalborgi,False
amylolyticus,,,,,Lactobacillus,Lactobacillus amylolyticus,0.010829828836231,SVR,Urea,C00086,Early_CRC,Lactobacillus amylolyticus,False
avistercoris,,,,,Alistipes,Alistipes avistercoris,0.0061824610695236,SVR,Urea,C00086,Early_CRC,Alistipes avistercoris,True
cellulosilyticus,Bacteroides cellulosilyticus,31.137783919232202,Other,Bacteroides,,,,,Urea,C00086,Early_CRC,Bacteroides cellulosilyticus,False
coli,,,,,Escherichia,Escherichia coli,0.0097642734369946,SVR,Urea,C00086,Early_CRC,Escherichia coli,False
eggerthii,Bacteroides eggerthii,29.896012551888283,Other,Bacteroides,,,,,Urea,C00086,Early_CRC,Bacteroides eggerthii,False
intestinigallinarum,,,,,Duodenibacillus,Duodenibacillus intestinigallinarum,0.005827430585317,SVR,Urea,C00086,Early_CRC,Duodenibacillus intestinigallinarum,False
merdae,merdae,16.64049615014223,Other,merdae,,,,,Urea,C00086,Early_CRC,merdae,False
ovatus,Bacteroides ovatus,12.649345126563189,Other,Bacteroides,,,,,Urea,C00086,Early_CRC,Bacteroides ovatus,False
prausnitzii,Faecalibacterium prausnitzii,14.68565977262007,Other,Faecalibacterium,,,,,Urea,C00086,Early_CRC,Faecalibacterium prausnitzii,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.0105766654705261,SVR,Urea,C00086,Early_CRC,Egerieicola pullicola,False
saudiense,,,,,Clostridium,Clostridium saudiense,0.0061962413557803,SVR,Urea,C00086,Early_CRC,Clostridium saudiense,False
sp000437735,,,,,Lachnospira,Lachnospira sp000437735,0.0083053543389415,SVR,Urea,C00086,Early_CRC,Lachnospira sp000437735,False
sp000758905,,,,,S5-A14a,S5-A14a sp000758905,0.0108114632342709,SVR,Urea,C00086,Early_CRC,S5-A14a sp000758905,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0113858399288284,SVR,Urea,C00086,Early_CRC,CAG-488 sp900539465,False
sp900541465,,,,,Fusobacterium_B,Fusobacterium_B sp900541465,0.0074068358260236,SVR,Urea,C00086,Early_CRC,Fusobacterium_B sp900541465,False
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0087048350980499,SVR,Urea,C00086,Early_CRC,UMGS693 sp900544555,False
sp900757865,,,,,Sutterella,Sutterella sp900757865,0.006828729353416,SVR,Urea,C00086,Early_CRC,Sutterella sp900757865,False
sp900766045,,,,,Eubacterium_T,Eubacterium_T sp900766045,0.0102385877197254,SVR,Urea,C00086,Early_CRC,Eubacterium_T sp900766045,False
sp900766315,,,,,Clostridium,Clostridium sp900766315,0.0056980861183067,SVR,Urea,C00086,Early_CRC,Clostridium sp900766315,False
sp903789375,,,,,CAIFEB01,CAIFEB01 sp903789375,0.0090686991455671,SVR,Urea,C00086,Early_CRC,CAIFEB01 sp903789375,False
splanchnicus,Odoribacter splanchnicus,0.025259377484622775,Other,Odoribacter,,,,,Urea,C00086,Early_CRC,Odoribacter splanchnicus,False
stercorihominis,Anaerofustis stercorihominis,0.2802647931909607,Other,Anaerofustis,,,,,Urea,C00086,Early_CRC,Anaerofustis stercorihominis,False
timonensis,,,,,Alloprevotella,Alloprevotella timonensis,0.0058591242919375,SVR,Urea,C00086,Early_CRC,Alloprevotella timonensis,False
turicensis,,,,,Pauljensenia,Pauljensenia turicensis,0.0068662336842133,SVR,Urea,C00086,Early_CRC,Pauljensenia turicensis,False
uniformis,Bacteroides uniformis,0.8334056223115051,Other,Bacteroides,,,,,Urea,C00086,Early_CRC,Bacteroides uniformis,False
virosa,Butyricimonas virosa,0.08487911294746449,Other,Butyricimonas,,,,,Urea,C00086,Early_CRC,Butyricimonas virosa,False
xylanisolvens,Bacteroides xylanisolvens,16.576009361673727,Other,Bacteroides,,,,,Urea,C00086,Early_CRC,Bacteroides xylanisolvens,False
faecalis,,,,,Aphodousia,Aphodousia faecalis,0.0059781926723343,RF,Pyridoxine,C00314,Early_CRC,Aphodousia faecalis,False
gallinarii,,,,,Alangreenwoodia,Alangreenwoodia gallinarii,0.0112090861929669,RF,Pyridoxine,C00314,Early_CRC,Alangreenwoodia gallinarii,False
indistinctus,,,,,Alistipes_A,Alistipes_A indistinctus,0.0107122600396446,RF,Pyridoxine,C00314,Early_CRC,Alistipes_A indistinctus,False
medium,Treponema medium,0.3227227439925753,Other,Treponema,,,,,Pyridoxine,C00314,Early_CRC,Treponema medium,False
merdae,merdae,5.363741772026239,Other,merdae,,,,,Pyridoxine,C00314,Early_CRC,merdae,False
merdavium,,,,,Spyradocola,Spyradocola merdavium,0.0228178166316766,RF,Pyridoxine,C00314,Early_CRC,Spyradocola merdavium,False
merdipullorum,,,,,Scatavimonas,Scatavimonas merdipullorum,0.0845771151504781,RF,Pyridoxine,C00314,Early_CRC,Scatavimonas merdipullorum,False
putredinis,,,,,Alistipes,Alistipes putredinis,0.0038611739325512,RF,Pyridoxine,C00314,Early_CRC,Alistipes putredinis,False
sp000432135,,,,,CAG-170,CAG-170 sp000432135,0.004268783039489,RF,Pyridoxine,C00314,Early_CRC,CAG-170 sp000432135,False
sp000432155,,,,,CAG-274,CAG-274 sp000432155,0.0054147002138759,RF,Pyridoxine,C00314,Early_CRC,CAG-274 sp000432155,False
sp000434475,,,,,Dialister,Dialister sp000434475,0.0081577606164388,RF,Pyridoxine,C00314,Early_CRC,Dialister sp000434475,False
sp900539195,,,,,Ruminiclostridium_E,Ruminiclostridium_E sp900539195,0.0036180995337718,RF,Pyridoxine,C00314,Early_CRC,Ruminiclostridium_E sp900539195,False
sp900544375,,,,,Fimivicinus,Fimivicinus sp900544375,0.0037083335336957,RF,Pyridoxine,C00314,Early_CRC,Fimivicinus sp900544375,False
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0259145831703941,RF,Pyridoxine,C00314,Early_CRC,UMGS693 sp900544555,False
sp900546845,,,,,UBA1685,UBA1685 sp900546845,0.0047629558427333,RF,Pyridoxine,C00314,Early_CRC,UBA1685 sp900546845,False
sp900554485,,,,,UBA10281,UBA10281 sp900554485,0.0066739960237403,RF,Pyridoxine,C00314,Early_CRC,UBA10281 sp900554485,False
sp900555035,,,,,Prevotella,Prevotella sp900555035,0.0035097694645196,RF,Pyridoxine,C00314,Early_CRC,Prevotella sp900555035,False
sp900557255,,,,,Prevotella,Prevotella sp900557255,0.0062228480225127,RF,Pyridoxine,C00314,Early_CRC,Prevotella sp900557255,False
sp900763035,,,,,UBA5905,UBA5905 sp900763035,0.0056167156040113,RF,Pyridoxine,C00314,Early_CRC,UBA5905 sp900763035,False
sp905207485,,,,,CAG-266,CAG-266 sp905207485,0.0036002355678976,RF,Pyridoxine,C00314,Early_CRC,CAG-266 sp905207485,False
succinatiphilus,,,,,Dialister,Dialister succinatiphilus,0.0054490503957478,RF,Pyridoxine,C00314,Early_CRC,Dialister succinatiphilus,False
tenue,,,,,Paraclostridium,Paraclostridium tenue,0.0045989518712342,RF,Pyridoxine,C00314,Early_CRC,Paraclostridium tenue,False
amylolyticus,,,,,Lactobacillus,Lactobacillus amylolyticus,0.0253251442029713,LightGBM,Glucuronate,C00191,Early_CRC,Lactobacillus amylolyticus,False
cellulosilyticus,Bacteroides cellulosilyticus,0.08388499746001574,Other,Bacteroides,,,,,Glucuronate,C00191,Early_CRC,Bacteroides cellulosilyticus,False
flavescens_C,,,,,Neisseria,Neisseria flavescens_C,0.0350478232192139,LightGBM,Glucuronate,C00191,Early_CRC,Neisseria flavescens_C,False
forsythia_A,,,,,Tannerella,Tannerella forsythia_A,0.0243784293042389,LightGBM,Glucuronate,C00191,Early_CRC,Tannerella forsythia_A,False
ihumii,,,,,Alistipes_A,Alistipes_A ihumii,0.0274448558233088,LightGBM,Glucuronate,C00191,Early_CRC,Alistipes_A ihumii,False
longum,longum,0.05278706301591967,Other,longum,,,,,Glucuronate,C00191,Early_CRC,longum,False
medium,Treponema medium,0.0011294610000652963,Other,Treponema,,,,,Glucuronate,C00191,Early_CRC,Treponema medium,False
merdae,merdae,0.027067979374812978,Other,merdae,,,,,Glucuronate,C00191,Early_CRC,merdae,False
merdipullorum,,,,,Scatavimonas,Scatavimonas merdipullorum,0.0395631087355626,LightGBM,Glucuronate,C00191,Early_CRC,Scatavimonas merdipullorum,False
ovatus,Bacteroides ovatus,0.04310431595434435,Other,Bacteroides,,,,,Glucuronate,C00191,Early_CRC,Bacteroides ovatus,False
parauberis,,,,,Streptococcus,Streptococcus parauberis,0.0367043692912096,LightGBM,Glucuronate,C00191,Early_CRC,Streptococcus parauberis,False
ramosum,,,,,Erysipelatoclostridium,Erysipelatoclostridium ramosum,0.0567879583749478,LightGBM,Glucuronate,C00191,Early_CRC,Erysipelatoclostridium ramosum,False
silvanus,,,,,Meiothermus_B,Meiothermus_B silvanus,0.0548853612966704,LightGBM,Glucuronate,C00191,Early_CRC,Meiothermus_B silvanus,False
sp000431015,,,,,Cryptobacteroides,Cryptobacteroides sp000431015,0.0245663503382232,LightGBM,Glucuronate,C00191,Early_CRC,Cryptobacteroides sp000431015,False
sp000437595,,,,,UBA11524,UBA11524 sp000437595,0.0191551883217449,LightGBM,Glucuronate,C00191,Early_CRC,UBA11524 sp000437595,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0203466037586967,LightGBM,Glucuronate,C00191,Early_CRC,Leptotrichia_A sp001274535,False
sp900319515,,,,,CAG-127,CAG-127 sp900319515,0.0280794912660736,LightGBM,Glucuronate,C00191,Early_CRC,CAG-127 sp900319515,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0280558356889028,LightGBM,Glucuronate,C00191,Early_CRC,CAG-488 sp900539465,False
sp900540355,,,,,Intestinibacter,Intestinibacter sp900540355,0.0345087151753448,LightGBM,Glucuronate,C00191,Early_CRC,Intestinibacter sp900540355,False
sp900757655,,,,,CAG-103,CAG-103 sp900757655,0.0465999224324809,LightGBM,Glucuronate,C00191,Early_CRC,CAG-103 sp900757655,False
sp900763035,,,,,UBA5905,UBA5905 sp900763035,0.0354098777497658,LightGBM,Glucuronate,C00191,Early_CRC,UBA5905 sp900763035,False
sp902766775,,,,,Ruminococcus_E,Ruminococcus_E sp902766775,0.0303247927920302,LightGBM,Glucuronate,C00191,Early_CRC,Ruminococcus_E sp902766775,False
spG000499525,,,,,CCUG-7971,CCUG-7971 spG000499525,0.03178408087418,LightGBM,Glucuronate,C00191,Early_CRC,CCUG-7971 spG000499525,False
thetaiotaomicron,Bacteroides thetaiotaomicron,0.032388238644418234,Other,Bacteroides,,,,,Glucuronate,C00191,Early_CRC,Bacteroides thetaiotaomicron,False
turicensis,,,,,Pauljensenia,Pauljensenia turicensis,0.0289667349737437,LightGBM,Glucuronate,C00191,Early_CRC,Pauljensenia turicensis,False
uniformis,Bacteroides uniformis,0.003444468166424741,Other,Bacteroides,,,,,Glucuronate,C00191,Early_CRC,Bacteroides uniformis,False
wadei,,,,,Leptotrichia,Leptotrichia wadei,0.0409421836938129,LightGBM,Glucuronate,C00191,Early_CRC,Leptotrichia wadei,False
agalactiae,Streptococcus agalactiae,97.84814212271822,Amino Acid,Streptococcus,,,,,Isoleucine,C00407,Advanced_CRC,Streptococcus agalactiae,False
ascorbata,Kluyvera ascorbata,89.51326992267718,Amino Acid,Kluyvera,,,,,Isoleucine,C00407,Advanced_CRC,Kluyvera ascorbata,False
bivia,Prevotella bivia,85.59348435091265,Amino Acid,Prevotella,,,,,Isoleucine,C00407,Advanced_CRC,Prevotella bivia,False
cerevisiae,,,,,Megasphaera,Megasphaera cerevisiae,0.0066434317492687,SVR,Isoleucine,C00407,Advanced_CRC,Megasphaera cerevisiae,True
coli,,,,,Escherichia,Escherichia coli,0.0059514377462402,SVR,Isoleucine,C00407,Advanced_CRC,Escherichia coli,True
constellatus,Streptococcus constellatus,85.72334692754904,Amino Acid,Streptococcus,,,,,Isoleucine,C00407,Advanced_CRC,Streptococcus constellatus,False
