epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,stage,display_species,genus_confirmed
eutactus,Coprococcus eutactus,50.0,Other,Coprococcus,,,,,Riboflavin,C00255,Healthy,Coprococcus eutactus,False
forsythia_A,,,,,Tannerella,Tannerella forsythia_A,0.0040565063463496,RF,Riboflavin,C00255,Healthy,Tannerella forsythia_A,False
hypermegale,Megamonas hypermegale,54.855333067207965,Other,Megamonas,,,,,Riboflavin,C00255,Healthy,Megamonas hypermegale,False
intestinavium,,,,,Scatomorpha,Scatomorpha intestinavium,0.0052240335293315,RF,Riboflavin,C00255,Healthy,Scatomorpha intestinavium,False
intestinihominis,,,,,Christensenella,Christensenella intestinihominis,0.0044114788058347,RF,Riboflavin,C00255,Healthy,Christensenella intestinihominis,False
medium,Treponema medium,0.1368742763982889,Other,Treponema,,,,,Riboflavin,C00255,Healthy,Treponema medium,False
plebeius_A,,,,,Phocaeicola,Phocaeicola plebeius_A,0.0045878960582242,RF,Riboflavin,C00255,Healthy,Phocaeicola plebeius_A,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0238521137195346,RF,Riboflavin,C00255,Healthy,Fusobacterium sp000235465,False
sp000434475,,,,,Dialister,Dialister sp000434475,0.0064022111621318,RF,Riboflavin,C00255,Healthy,Dialister sp000434475,False
sp000434975,,,,,Prevotella,Prevotella sp000434975,0.0044906593267446,RF,Riboflavin,C00255,Healthy,Prevotella sp000434975,False
sp000686145,,,,,Romboutsia_D,Romboutsia_D sp000686145,0.0365324108458801,RF,Riboflavin,C00255,Healthy,Romboutsia_D sp000686145,False
sp000799075,,,,,Cetobacterium_A,Cetobacterium_A sp000799075,0.005249245920761,RF,Riboflavin,C00255,Healthy,Cetobacterium_A sp000799075,False
sp003458715,,,,,Holdemanella,Holdemanella sp003458715,0.0066906778041763,RF,Riboflavin,C00255,Healthy,Holdemanella sp003458715,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0484440704887447,RF,Riboflavin,C00255,Healthy,CCUG-7971 sp017590215,False
sp900539095,,,,,Ruminococcus_D,Ruminococcus_D sp900539095,0.0073735283268839,RF,Riboflavin,C00255,Healthy,Ruminococcus_D sp900539095,False
