Polyamine,KEGG,Species,Interaction_coef,Interaction_pval,N,Interaction_qval
Spermidine,C00315,Prevotella sp900544495,-0.005650300220171892,0.6047347067033859,347,0.9873954788693271
Spermidine,C00315,Escherichia fergusonii,-0.006788124368126801,0.5688998371414089,347,0.9873954788693271
Spermidine,C00315,Klebsiella pneumoniae,-0.021081399379677526,0.07398200408637319,347,0.9873954788693271
Spermidine,C00315,Gemmiger sp900540595,-0.01006824902460781,0.38505888612909456,347,0.9873954788693271
Spermidine,C00315,Clostridium_A leptum,-0.004253774331756229,0.7232135062777942,347,0.9873954788693271
Spermidine,C00315,Phocaeicola coprophilus,0.008119851819559237,0.46098462608277757,347,0.9873954788693271
Spermidine,C00315,Blautia_A caecimuris,-0.005200412337816188,0.6286577322374127,347,0.9873954788693271
Spermidine,C00315,Escherichia sp004211955,-0.006243280044058425,0.6079478312890128,347,0.9873954788693271
Spermidine,C00315,Lachnospira sp900316325,0.010818344090684,0.34841046774572615,347,0.9873954788693271
Spermidine,C00315,Copromonas sp900066535,-0.022121784342286642,0.052332196311406495,347,0.9873954788693271
Spermidine,C00315,CAG-217 sp000436335,-0.017230524283362674,0.14245706249965004,347,0.9873954788693271
Spermidine,C00315,Faecousia sp003525905,-0.00993797730376296,0.4147255871390283,347,0.9873954788693271
Spermidine,C00315,Copromonas sp000435795,-0.0026015720410061723,0.8292958772255583,347,0.9873954788693271
Spermidine,C00315,Bariatricus comes,-0.022189606956770067,0.05048262818156307,347,0.9873954788693271
Spermidine,C00315,Alistipes finegoldii,-0.0013822845824095404,0.9025835200867318,347,0.9873954788693271
Spermidine,C00315,Prevotella sp900290275,-0.004777260944418775,0.6776277626095357,347,0.9873954788693271
Spermidine,C00315,Enterocloster sp900541315,-0.01792861765807661,0.11161909761388825,347,0.9873954788693271
Spermidine,C00315,Prevotella sp900765465,-0.016135853434955317,0.1562118849260347,347,0.9873954788693271
Spermidine,C00315,Escherichia ruysiae,-0.007262770629288439,0.5653447153144721,347,0.9873954788693271
Spermidine,C00315,Roseburia hominis,0.003239350890083458,0.7812165511509812,347,0.9873954788693271
Spermidine,C00315,Paraprevotella clara,0.010098801323280681,0.37278424361810414,347,0.9873954788693271
Spermidine,C00315,Prevotella sp900550035,-0.008071649046427978,0.4892077544090183,347,0.9873954788693271
Spermidine,C00315,Ruminococcus_E sp003526955,0.010318706114523667,0.41284031068225413,347,0.9873954788693271
Spermidine,C00315,Akkermansia muciniphila_B,-0.006239390986631141,0.6390669829662172,347,0.9873954788693271
