target,target_name,model,species,shap_importance,pathway
C02155_Gly-Leu,C02155,XGBoost,Prevotella sp900557405,0.018993409350514412,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Lactobacillus amylolyticus,0.01898583225847474,Other
C00092_G6P,C00092,LightGBM,Acidaminococcus provencensis,0.018887344984826603,Other
C02714_N-Acetylputrescine,C02714,SVR,UBA1685 sp900546845,0.018807280503301466,Other
C00092_G6P,C00092,LightGBM,Neisseria sp000186165,0.018769635724892243,Other
C00003_NAD+,C00003,XGBoost,Roseburia intestinalis,0.01871722936630249,Other
C01551_Allantoin,C01551,SVR,UBA3839 sp017483765,0.018676857884856332,Other
C00092_G6P,C00092,LightGBM,SFEL01 sp016292635,0.018601119211454627,Other
C00092_G6P,C00092,LightGBM,Aphodousia sp905212345,0.018502040604308826,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Veillonella atypica,0.018426698598386082,Other
C01042_N-Acetylaspartate,C01042,SVR,Bifidobacterium pseudocatenulatum,0.01839020057053503,Other
C00785_Urocanate,C00785,LightGBM,Gallispira edinburgensis,0.01825358603495813,Other
C00092_G6P,C00092,LightGBM,Copromonas sp000435795,0.018226394121027747,Other
C00785_Urocanate,C00785,LightGBM,CAG-170 sp000432135,0.018096696261567825,Other
C02155_Gly-Leu,C02155,XGBoost,Fimenecus sp000432435,0.018046146258711815,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Dialister succinatiphilus,0.017940593703484393,Other
C01879_5-Oxoproline,C01879,RF,Alistipes avistercoris,0.017602479927440826,Other
C00092_G6P,C00092,LightGBM,Megasphaera massiliensis,0.017486825044042323,Other
C08262_Isovalerate,C08262,SVR,UBA1829 sp900548385,0.01738423143284916,Other
C00785_Urocanate,C00785,LightGBM,UMGS1696 sp900753285,0.017368908454168067,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Escherichia coli,0.01727190397041528,Other
C00491_Cystine,C00491,SVR,Egerieicola pullicola,0.01722521818198319,Other
C08277_Sebacate,C08277,RF,Flemingibacterium merdigallinarum,0.01721011324209843,Other
C01104_Trimethylamine N-oxide,C01104,RF,Clostridium disporicum,0.017003384129174712,Other
C11118_1-Methyl-2-pyrrolidinone,C11118,RF,Egerieicola pullicola,0.01691552523075671,Other
C00311_Isocitrate,C00311,SVR,UMGS687 sp900545735,0.016791788184503356,Other
C02155_Gly-Leu,C02155,XGBoost,W3P20-009 sp015061285,0.016762951388955116,Other
C00092_G6P,C00092,LightGBM,Merdimorpha sp003150615,0.016742552737891873,Other
C17714_Heptanoate,C17714,SVR,CAG-170 sp000432135,0.01658273783011895,Other
C00003_NAD+,C00003,XGBoost,Actinomyces gerencseriae,0.016567425802350044,Other
C00785_Urocanate,C00785,LightGBM,Alectryocaccomicrobium excrementavium,0.016567049553021157,Other
C03264_2-Hydroxy-4-methylpentanoate,C03264,SVR,Galloscillospira_B excrementipullorum,0.016546899510795153,Other
C00092_G6P,C00092,LightGBM,Cupidesulfovibrio vulgaris_A,0.016539412712742084,Other
C00449_Saccharopine,C00449,RF,UBA1685 sp900546845,0.01632773868577277,Other
C00630_Isobutyryl CoA,C00630,SVR,CAG-873 sp002633115,0.016194761673448837,Other
C00092_G6P,C00092,LightGBM,Carnobacterium maltaromaticum,0.016111864165001006,Other
C09815_Benzamide,C09815,RF,Alistipes shahii,0.015925805844070863,Other
C00785_Urocanate,C00785,LightGBM,Clostridium_A leptum,0.01591394486682783,Other
C00092_G6P,C00092,LightGBM,HGM11417 sp900761895,0.015881581702261952,Other
C00785_Urocanate,C00785,LightGBM,Bifidobacterium longum,0.015798636253922037,Other
C01879_5-Oxoproline,C01879,RF,UMGS687 sp900545735,0.015794945163911785,Other
C00785_Urocanate,C00785,LightGBM,UMGS1590 sp900552455,0.01572007852118934,Other
C00785_Urocanate,C00785,LightGBM,Prevotella sp002300055,0.015675056223290407,Other
C00383_Malonate,C00383,RF,Parasutterella excrementihominis,0.015674636496681577,Other
C00092_G6P,C00092,LightGBM,UBA3855 sp017460955,0.015656360825573753,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Faecimonas sp905209745,0.015628663241306188,Other
C17714_Heptanoate,C17714,SVR,PeH17 sp000435055,0.01561214409119848,Other
C02155_Gly-Leu,C02155,XGBoost,CAG-1427 sp900539675,0.015611141920089722,Other
C00785_Urocanate,C00785,LightGBM,Excrementavichristensenella intestinipullorum,0.015565009379227397,Other
C02714_N-Acetylputrescine,C02714,SVR,Veillonella parvula_A,0.015524600445390977,Other
C00334_GABA,C00334,SVR,Veillonella parvula_A,0.015495112403677947,Other
C01551_Allantoin,C01551,SVR,UBA1829 sp900548385,0.015486329995262303,Other
C00423_trans-Cinnamate,C00423,RF,UMGS687 sp900545735,0.015467407220517882,Other
C00785_Urocanate,C00785,LightGBM,Roseburia inulinivorans,0.01543846532933843,Other
C00423_trans-Cinnamate,C00423,RF,Streptococcus sp003686955,0.015360584224041024,Other
C03264_2-Hydroxy-4-methylpentanoate,C03264,SVR,Clostridium_A leptum,0.015344378969821517,Other
C01425_Glu-Glu,C01425,SVR,Lachnospira sp000436475,0.015294201980578973,Other
C01118_o-Succinylhomoserine,C01118,RF,Sediminibacterium sp902168225,0.015227356784023314,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Dialister sp900541605,0.0151701901243336,Other
C02714_N-Acetylputrescine,C02714,SVR,Acidaminococcus fermentans,0.015119968436983293,Other
C00024_Acetyl CoA,C00024,SVR,Duodenibacillus intestinigallinarum,0.015055404978206574,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,UMGS902 sp003343845,0.01484663915087605,Other
C00245_Taurine,C00245,RF,UBA5905 sp900763035,0.014765697171452739,Other
C00003_NAD+,C00003,XGBoost,Megamonas sp900556715,0.014764918945729733,Other
C01551_Allantoin,C01551,SVR,Desulfovibrio piger,0.014736616656109364,Other
C00785_Urocanate,C00785,LightGBM,Clostridium butyricum,0.014722926041853735,Other
_DCA,_DCA,SVR,Aphodousia sp900545335,0.014661698741816297,Other
C00785_Urocanate,C00785,LightGBM,S5-A14a sp000758905,0.01459368114123034,Other
C00785_Urocanate,C00785,LightGBM,Gemmiger sp900540595,0.01453097824188833,Other
C00186_Lactate,C00186,SVR,Leptotrichia wadei,0.01447093941793617,Other
C01551_Allantoin,C01551,SVR,Bilophila wadsworthia,0.014465039288079306,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Lachnospira sp000437735,0.014461595875766542,Other
C02378_6-Aminohexanoate,C02378,RF,Romboutsia_A weinsteinii,0.014359858615360564,Other
C00123_Leu,C00123,SVR,Klebsiella ornithinolytica,0.014308736680002692,Amino Acid
C00003_NAD+,C00003,XGBoost,Escherichia fergusonii,0.014245925471186638,Other
C11118_1-Methyl-2-pyrrolidinone,C11118,RF,UMGS687 sp900545735,0.014231131415870273,Other
C00785_Urocanate,C00785,LightGBM,Faecousia sp017548065,0.014202057100975373,Other
C02155_Gly-Leu,C02155,XGBoost,CAG-177 sp002438685,0.014117661863565445,Other
C02710_N-Acetylleucine,C02710,SVR,Enterococcus_D gallinarum,0.014071315467745425,Other
C00123_Leu,C00123,SVR,Fusobacterium sp000235465,0.014069568090187617,Amino Acid
C09815_Benzamide,C09815,RF,Ruminiclostridium_E sp900539195,0.01401467381576086,Other
C00407_Ile,C00407,SVR,Fusobacterium_A mortiferum,0.0138788629778918,Amino Acid
C08262_Isovalerate,C08262,SVR,Collinsella sp900555555,0.013869962579789017,Other
C00383_Malonate,C00383,RF,Phascolarctobacterium faecium,0.013832564258636363,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Klebsiella quasipneumoniae,0.013800320854326708,Other
C00092_G6P,C00092,LightGBM,CAG-488 sp016292785,0.013796012416641393,Other
C00630_Isobutyryl CoA,C00630,SVR,Peptococcus niger,0.013649123948707742,Other
C02714_N-Acetylputrescine,C02714,SVR,Cetobacterium_A sp000799075,0.013477498416712957,Other
C00311_Isocitrate,C00311,SVR,Aphodousia sp900553105,0.013347626075669295,Other
C01551_Allantoin,C01551,SVR,Dialister invisus,0.013269182594712454,Other
C02155_Gly-Leu,C02155,XGBoost,Prevotella sp000434975,0.013257116079330444,Other
C00245_Taurine,C00245,RF,UBA3818 sp904397845,0.013253987335085751,Other
C00123_Leu,C00123,SVR,CCUG-7971 sp017590215,0.01324021420369156,Amino Acid
C02155_Gly-Leu,C02155,XGBoost,Paenibacillus_C intestinavium,0.013118056580424309,Other
C09815_Benzamide,C09815,RF,Cryptobacterium curtum,0.01304895147442644,Other
C01042_N-Acetylaspartate,C01042,SVR,Streptococcus sp003686955,0.013033451764426386,Other
C08277_Sebacate,C08277,RF,Copromorpha sp905193765,0.01302253141715077,Other
C00407_Ile,C00407,SVR,Klebsiella ornithinolytica,0.013009155642312831,Amino Acid
C00003_NAD+,C00003,XGBoost,Fusobacterium_B sp900542625,0.012738894671201706,Other
C05332_Phenethylamine,C05332,SVR,Gemmiger qucibialis,0.012696346515749248,Other
C02679_Dodecanoate,C02679,SVR,Fusobacterium_B sp900554355,0.012667149695740792,Other
C00255_Riboflavin,C00255,RF,Romboutsia_A weinsteinii,0.01258986065797878,Other
C17714_Heptanoate,C17714,SVR,Faecousia sp000434635,0.012581791408135132,Other
C02378_6-Aminohexanoate,C02378,RF,Alistipes avistercoris,0.012568898778777638,Other
C01551_Allantoin,C01551,SVR,Cupidesulfovibrio vulgaris_A,0.01253518245230407,Other
C08277_Sebacate,C08277,RF,Negativibacillus massiliensis,0.012419859602221858,Other
C01879_5-Oxoproline,C01879,RF,UMGS1322 sp905214315,0.012384979105351607,Other
C01551_Allantoin,C01551,SVR,Bacillus_T coahuilensis,0.012372610278071848,Other
C00334_GABA,C00334,SVR,Lachnospira sp000436475,0.012371671721527446,Other
C00123_Leu,C00123,SVR,Egerieicola pullicola,0.01229039584958903,Amino Acid
C01959_Taurocyamine,C01959,RF,UBA11524 sp000437595,0.012253023768096593,Other
C00407_Ile,C00407,SVR,Egerieicola pullicola,0.012185042763233664,Amino Acid
